"Date","Price","Open","High","Low","Change %"
"04-04-2025","6.080","6.150","6.150","6.110","-1.14%"
"03-04-2025","6.150","6.280","6.280","6.130","-2.07%"
"02-04-2025","6.280","6.340","6.380","6.280","-1.10%"
"28-03-2025","6.350","6.470","6.490","6.370","-2.01%"
"27-03-2025","6.480","6.500","6.530","6.500","0.47%"
"26-03-2025","6.450","6.470","6.490","6.470","0.00%"
"25-03-2025","6.450","6.480","6.480","6.470","0.00%"
"24-03-2025","6.450","6.460","6.490","6.460","-0.15%"
"21-03-2025","6.460","6.490","6.500","6.470","0.00%"
"20-03-2025","6.460","6.520","6.540","6.480","0.16%"
"19-03-2025","6.450","6.480","6.510","6.470","0.00%"
"18-03-2025","6.450","6.490","6.490","6.480","0.00%"
"17-03-2025","6.450","6.480","6.500","6.480","-0.46%"
"13-03-2025","6.480","6.500","6.510","6.500","0.15%"
"12-03-2025","6.470","6.490","6.500","6.480","0.00%"
"11-03-2025","6.470","6.500","6.500","6.490","0.00%"
"10-03-2025","6.470","6.500","6.500","6.470","0.00%"
"07-03-2025","6.470","6.490","6.490","6.480","0.00%"
"06-03-2025","6.470","6.500","6.510","6.490","0.31%"
"05-03-2025","6.450","6.460","6.490","6.460","0.16%"
"04-03-2025","6.440","6.460","6.480","6.440","0.00%"
"03-03-2025","6.440","6.470","6.480","6.450","0.16%"
"28-02-2025","6.430","6.440","6.480","6.440","0.16%"
"27-02-2025","6.420","6.380","6.450","6.370","-0.16%"
"25-02-2025","6.430","6.410","6.430","6.410","0.16%"
"24-02-2025","6.420","6.430","6.450","6.420","-0.62%"
"21-02-2025","6.460","6.480","6.480","6.430","0.31%"
"20-02-2025","6.440","6.460","6.480","6.420","-0.62%"
"18-02-2025","6.480","6.460","6.500","6.460","0.00%"
"17-02-2025","6.480","6.460","6.480","6.450","0.47%"
"14-02-2025","6.450","6.470","6.480","6.450","-0.15%"
"13-02-2025","6.460","6.470","6.470","6.460","0.16%"
"12-02-2025","6.450","6.460","6.460","6.420","0.00%"
"11-02-2025","6.450","6.450","6.480","6.420","0.00%"
"10-02-2025","6.450","6.450","6.460","6.430","0.47%"
"07-02-2025","6.420","6.480","6.490","6.420","-0.47%"
