"Date","Price","Open","High","Low","Change %"
"04-04-2025","6.260","6.356","6.356","6.266","-0.95%"
"03-04-2025","6.320","6.330","6.357","6.320","0.00%"
"02-04-2025","6.320","6.369","6.369","6.322","-1.86%"
"28-03-2025","6.440","6.541","6.541","6.435","-0.46%"
"27-03-2025","6.470","6.488","6.488","6.469","0.00%"
"26-03-2025","6.470","6.506","6.506","6.470","-0.15%"
"25-03-2025","6.480","6.506","6.514","6.483","-0.15%"
"24-03-2025","6.490","6.503","6.505","6.498","-0.15%"
"21-03-2025","6.500","6.520","6.580","6.495","-0.46%"
"20-03-2025","6.530","6.599","6.599","6.523","-0.31%"
"19-03-2025","6.550","6.581","6.581","6.556","-0.30%"
"18-03-2025","6.570","6.589","6.589","6.571","0.15%"
"17-03-2025","6.560","6.582","6.589","6.579","-0.15%"
"13-03-2025","6.570","6.582","6.582","6.577","0.00%"
"12-03-2025","6.570","6.602","6.634","6.570","-0.15%"
"11-03-2025","6.580","6.591","6.591","6.580","0.00%"
"10-03-2025","6.580","6.602","6.602","6.582","0.61%"
"07-03-2025","6.540","6.613","6.613","6.558","-0.15%"
"06-03-2025","6.550","6.578","6.578","6.553","-0.30%"
"05-03-2025","6.570","6.668","6.668","6.576","0.15%"
"04-03-2025","6.560","6.606","6.606","6.577","-0.15%"
"03-03-2025","6.570","6.622","6.622","6.587","-0.15%"
"28-02-2025","6.580","6.589","6.622","6.585","0.15%"
"27-02-2025","6.570","6.695","6.695","6.577","-0.17%"
"25-02-2025","6.581","6.603","6.603","6.574","-0.29%"
"24-02-2025","6.600","6.642","6.642","6.599","-0.47%"
"21-02-2025","6.631","6.639","6.661","6.631","0.05%"
"20-02-2025","6.628","6.629","6.651","6.628","0.00%"
"18-02-2025","6.628","6.651","6.651","6.628","-0.14%"
"17-02-2025","6.637","6.634","6.644","6.621","0.02%"
"14-02-2025","6.636","6.645","6.652","6.634","-0.09%"
"13-02-2025","6.642","6.646","6.646","6.639","-0.02%"
"12-02-2025","6.643","6.639","6.643","6.635","-0.03%"
"11-02-2025","6.645","6.636","6.645","6.625","0.06%"
"10-02-2025","6.641","6.632","6.641","6.629","0.36%"
"07-02-2025","6.617","6.682","6.682","6.604","0.39%"
"06-02-2025","6.591","6.570","6.700","6.570","0.29%"
"05-02-2025","6.572","6.588","6.588","6.572","-0.27%"
"04-02-2025","6.590","6.610","6.610","6.590","0.00%"
"03-02-2025","6.590","6.610","6.634","6.590","-0.27%"
"31-01-2025","6.608","6.636","6.636","6.608","-0.35%"
"30-01-2025","6.631","6.624","6.631","6.615","-0.02%"
"29-01-2025","6.632","6.624","6.636","6.616","0.48%"
"28-01-2025","6.600","6.636","6.636","6.600","0.05%"
"27-01-2025","6.597","6.616","6.616","6.597","-0.47%"
"24-01-2025","6.628","6.655","6.655","6.628","-0.09%"
"23-01-2025","6.634","6.694","6.694","6.634","-0.09%"
"22-01-2025","6.640","6.714","6.714","6.640","-0.15%"
"21-01-2025","6.650","6.675","6.675","6.650","-0.17%"
"20-01-2025","6.661","6.690","6.702","6.661","-0.24%"
"17-01-2025","6.677","6.690","6.690","6.677","-0.04%"
"16-01-2025","6.680","6.698","6.698","6.675","-0.54%"
"15-01-2025","6.716","6.716","6.716","6.716","-0.42%"
"14-01-2025","6.744","6.791","6.791","6.744","0.31%"
"13-01-2025","6.723","6.733","6.829","6.723","0.87%"
"10-01-2025","6.665","6.691","6.691","6.665","-0.42%"
"09-01-2025","6.693","6.748","6.748","6.693","0.42%"
"08-01-2025","6.665","6.733","6.733","6.665","-0.12%"
"07-01-2025","6.673","6.695","6.695","6.672","0.01%"
"06-01-2025","6.672","6.752","6.752","6.672","-0.60%"
"03-01-2025","6.712","6.748","6.748","6.712","-0.16%"
"02-01-2025","6.723","6.733","6.737","6.721","0.24%"
"01-01-2025","6.707","6.733","6.733","6.707","-0.15%"
"31-12-2024","6.717","6.737","6.737","6.717","-0.31%"
"30-12-2024","6.738","6.744","6.744","6.738","0.04%"
"27-12-2024","6.735","6.768","6.779","6.735","-0.03%"
"26-12-2024","6.737","6.743","6.750","6.737","0.00%"
"24-12-2024","6.737","6.749","6.749","6.735","0.13%"
"23-12-2024","6.728","6.739","6.739","6.728","-0.19%"
"20-12-2024","6.741","6.770","6.770","6.741","0.16%"
"19-12-2024","6.730","6.764","6.764","6.730","0.73%"
"18-12-2024","6.681","6.703","6.703","6.681","-0.04%"
"17-12-2024","6.684","6.714","6.714","6.684","0.06%"
"16-12-2024","6.680","6.710","6.731","6.680","0.07%"
"13-12-2024","6.675","6.714","6.714","6.675","-0.10%"
"12-12-2024","6.682","6.681","6.715","6.674","0.33%"
"11-12-2024","6.660","6.656","6.715","6.656","0.32%"
"10-12-2024","6.639","6.699","6.699","6.639","-0.51%"
"09-12-2024","6.673","6.716","6.716","6.672","-0.30%"
"06-12-2024","6.693","6.632","6.750","6.632","1.04%"
"05-12-2024","6.624","6.633","6.633","6.623","0.20%"
"04-12-2024","6.611","6.657","6.657","6.611","-0.26%"
"03-12-2024","6.628","6.650","6.650","6.628","-0.14%"
"02-12-2024","6.637","6.718","6.718","6.634","-1.24%"
"29-11-2024","6.720","6.765","6.768","6.691","-0.62%"
"28-11-2024","6.762","6.766","6.768","6.755","0.03%"
"27-11-2024","6.760","6.793","6.793","6.760","0.19%"
"26-11-2024","6.747","6.773","6.787","6.747","-0.12%"
"25-11-2024","6.755","6.770","6.770","6.755","-0.15%"
"22-11-2024","6.765","6.770","6.804","6.765","0.16%"
"21-11-2024","6.754","6.768","6.768","6.754","0.22%"
"19-11-2024","6.739","6.754","6.760","6.739","-0.13%"
"18-11-2024","6.748","6.755","6.772","6.745","-0.18%"
"14-11-2024","6.760","6.795","6.795","6.756","0.09%"
"13-11-2024","6.754","6.757","6.757","6.752","0.00%"
"12-11-2024","6.754","6.757","6.774","6.754","0.21%"
"11-11-2024","6.740","6.757","6.757","6.740","0.12%"
"08-11-2024","6.732","6.762","6.762","6.732","-0.25%"
"07-11-2024","6.749","6.775","6.775","6.749","-0.07%"
"06-11-2024","6.754","6.782","6.782","6.754","0.03%"
"05-11-2024","6.752","6.749","6.766","6.746","0.09%"
"04-11-2024","6.746","6.792","6.792","6.745","0.03%"
"31-10-2024","6.744","6.755","6.776","6.743","0.01%"
"30-10-2024","6.743","6.766","6.766","6.743","-0.07%"
"29-10-2024","6.748","6.782","6.782","6.748","-0.22%"
"28-10-2024","6.763","6.774","6.774","6.763","0.21%"
"25-10-2024","6.749","6.767","6.767","6.724","0.34%"
"24-10-2024","6.726","6.747","6.747","6.723","0.40%"
"23-10-2024","6.699","6.748","6.748","6.699","-0.06%"
"22-10-2024","6.703","6.749","6.749","6.703","0.07%"
"21-10-2024","6.698","6.686","6.729","6.683","0.65%"
"18-10-2024","6.655","6.676","6.676","6.651","0.29%"
"17-10-2024","6.636","6.639","6.649","6.636","0.02%"
"16-10-2024","6.635","6.637","6.645","6.629","-0.03%"
"15-10-2024","6.637","6.666","6.666","6.634","-0.03%"
"14-10-2024","6.639","6.642","6.662","6.634","-0.11%"
"11-10-2024","6.646","6.650","6.672","6.646","0.08%"
"10-10-2024","6.641","6.653","6.674","6.640","-0.06%"
"09-10-2024","6.645","6.654","6.654","6.607","-0.58%"
"08-10-2024","6.684","6.720","6.720","6.683","-0.42%"
"07-10-2024","6.712","6.716","6.724","6.708","0.24%"
"04-10-2024","6.696","6.717","6.721","6.696","0.16%"
"03-10-2024","6.685","6.682","6.690","6.664","0.42%"
"01-10-2024","6.657","6.683","6.683","6.654","-0.11%"
"30-09-2024","6.664","6.684","6.684","6.664","-0.33%"
"27-09-2024","6.686","6.689","6.697","6.652","0.25%"
"26-09-2024","6.669","6.690","6.690","6.666","-0.18%"
"25-09-2024","6.681","6.691","6.691","6.681","-0.04%"
"24-09-2024","6.684","6.692","6.704","6.682","-0.07%"
"23-09-2024","6.689","6.692","6.700","6.687","0.06%"
"20-09-2024","6.685","6.701","6.705","6.681","0.04%"
"19-09-2024","6.682","6.703","6.703","6.675","-0.21%"
